Dia,Fecha,Peru,Chile,Ecuador,Argentina
1,01/03/2020,0,0,1,0
2,02/03/2020,0,0,6,0
3,03/03/2020,0,1,7,1
4,04/03/2020,0,1,10,1
5,05/03/2020,0,4,13,1
6,06/03/2020,1,4,13,2
7,07/03/2020,1,4,13,8
8,08/03/2020,6,8,14,12
9,09/03/2020,7,8,15,12
10,10/03/2020,11,13,15,17
11,11/03/2020,11,23,17,19
12,12/03/2020,15,23,17,19
13,13/03/2020,28,43,17,31
14,14/03/2020,38,61,28,34
15,15/03/2020,43,74,28,45
16,16/03/2020,86,155,37,56
17,17/03/2020,117,0,0,0
18,18/03/2020,145,0,0,0
19,19/03/2020,234,0,0,0
20,20/03/2020,263,0,0,0
21,20/03/2020,318,0,0,0
22,20/03/2020,363,0,0,0
23,20/03/2020,395,0,0,0
24,20/03/2020,416,0,0,0
25,20/03/2020,480,0,0,0
26,20/03/2020,580,0,0,0
27,20/03/2020,635,0,0,0
28,20/03/2020,671,0,0,0
29,20/03/2020,852,0,0,0

